[1506170702.91]	 data from PC: 'ANDROID:MAP:f8007000ff01fe03fc07f80ff01fe03fc07f80ff01fe03fc07f80ff01c0038007007000e001f:00000000000000000000000000000000'
[1506170702.91]	 data from PC: 'ARDUINO:INS:F'
[1506170702.91]	 data from PC: 'ANDROID:SP:211:0'
[1506170702.91]	 data from PC: 'ARDUINO:RS'
[1506170703.85]	 data from Arduino: '224\r\n'
[1506170703.91]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170703.92]	 [*] Sent data to Pc: '234:0:0:0:0:2:0\r\n'[1506170703.92]	 data from Arduino: '224\r\n'
[1506170704.43]	 data from PC: 'ANDROID:MAP:f8007000ff01fe03fc07f80ff01fe03fc07f80ff01fe03fc07f80ff01fe038007007e00e001f:0000000000000000000000000000000000'
[1506170704.43]	 data from PC: 'ARDUINO:INS:F'
[1506170704.43]	 data from PC: 'ANDROID:SP:226:0'
[1506170704.44]	 data from PC: 'ARDUINO:RS'
[1506170705.09]	 data from Arduino: '224\r\n'
[1506170705.19]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170705.2]	 data from Arduino: '224\r\n'
[1506170705.71]	 data from PC: 'ANDROID:MAP:f8007000ff01fe03fc07f80ff01fe03fc07f80ff01fe03fc07f80ff01fe03fc07007e00fc01f:000000000000000000000000000000000000'
[1506170705.71]	 data from PC: 'ARDUINO:INS:F'
[1506170705.71]	 data from PC: 'ANDROID:SP:241:0'
[1506170705.72]	 data from PC: 'ARDUINO:RS'
[1506170706.54]	 data from Arduino: '224\r\n'
[1506170706.64]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170706.65]	 data from Arduino: '224\r\n'
[1506170709.6]	 data from PC: 'ANDROID:MAP:f8007000ff01fe03fc07f80ff01fe03fc07f80ff01fe03fc07f80ff01fe03fc07f87e00fc01f:00000000000000000000000000000000000000'
[1506170709.6]	 Sent data to bluetooth: 'MAP:f8007000ff01fe03fc07f80ff01fe03fc07f80ff01fe03fc07f80ff01fe03fc07f87e00fc01f:00000000000000000000000000000000000000'[1506170709.6]	 data from PC: 'ARDUINO:INS:F'
[1506170709.6]	 data from PC: 'ANDROID:SP:256:0'
[1506170709.6]	 data from PC: 'ARDUINO:RS'
[1506170710.53]	 data from Arduino: '224\r\n'
[1506170710.61]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170710.62]	 data from Arduino: '224\r\n'
[1506170711.14]	 data from PC: 'ANDROID:MAP:f8007000ff01fe03fc07f80ff01fe03fc07f80ff01fe03fc07f80ff01fe03fc07f87ff0fc01f:000000000000000000000000000000000000000'
[1506170711.14]	 data from PC: 'ARDUINO:INS:F'
[1506170711.14]	 data from PC: 'ANDROID:SP:271:0'
